Companies,Email,Services,Details,Phone,Location
"New York Carpet Cleaning, Inc.",www.newyorkcarpetcleaning.com,"- Provider of carpet cleaning, rug cleaning services to keep New York homes and business looking their best."," New York Carpet Cleaning, Inc. - Provider of carpet cleaning, rug cleaning services to keep New York homes and business looking their best. www.newyorkcarpetcleaning.com | 212-300-5744 44 5th Ave. Ste. 2120 New York, NY 10001 (map)",2123005744," 44 5th Ave. Ste. 2120 New York, NY 10001 ("
Noble Abode,www.nobleabode.com,- Created with one simple goal in mind: to help create stunning and affordable living spaces you can't wait to come home to.," Noble Abode - Created with one simple goal in mind: to help create stunning and affordable living spaces you can't wait to come home to. www.nobleabode.com | 917-268-8553 84 S 1st Street, Suite 3B New York, NY 11249 (map)",9172688553," 84 S 1st Street, Suite 3B New York, NY 11249 ("
NY Advocates 4 Kids,www.nyadvocates4kids.com," - Advocating for Special Needs, Homeschool and Gifted students whose needs arenât being met in the school system."," NY Advocates 4 Kids - Advocating for Special Needs, Homeschool and Gifted students whose needs arenât being met in the school system. www.nyadvocates4kids.com | (212) 457-1635 641 Lexington Ave New York, NY 10022 ",2124571635," 641 Lexington Ave New York, NY 10022 "
NY Brite,www.nybrite.com,"- offers professional and affordable cleaning service in New York City. We clean offices, homes, and more."," NY Brite - offers professional and affordable cleaning service in New York City. We clean offices, homes, and more. www.nybrite.com | 212-763-0042 509 Grand Street New York, NY 10002 (map) ",2127630042," 509 Grand Street New York, NY 10002 ("
NY Video Productions,www.nyvideoproductions.com, - Film production company for New York.," NY Video Productions - Film production company for New York. www.nyvideoproductions.com | (631) 428-7246 27 Family Lane Suite 1A Levittown, NY 11756 ",6314287246," 27 Family Lane Suite 1A Levittown, NY 11756 "
oneblowdrybar,www.oneblowdrybar.com," - a blow out salon . no cuts , no color just blow dry at $40. Don't want to leave the house no problem ! we'll come to you!."," oneblowdrybar - a blow out salon . no cuts , no color just blow dry at $40. Don't want to leave the house no problem ! we'll come to you!. www.oneblowdrybar.com | (646) 650-5593 151 W34th Street Macy's Herald Square, NY 10001 ",6466505593," 151 W34th Street Macy's Herald Square, NY 10001 "
Park and Willow L.L.C,paperstreetrealestate.com,- A real estate brokerage firm that assists both buyers and sellers with their realty transactions. We help market & sell your property. ," Paper Street Real Estate LLC - A real estate brokerage firm that assists both buyers and sellers with their realty transactions. We help market & sell your property. paperstreetrealestate.com | (646) 945-3727 85 Broad Street 16th Floor New York, NY 10004",6469453727," 85 Broad Street 16th Floor New York, NY 10004"
Park and Willow L.L.C,www.ParkAndWillow.com,"- Are you thirsty? Any drink you like, we have and will deliver it to your home and office. No charge. Five free cases of Spring Water!"," Park and Willow L.L.C - Are you thirsty? Any drink you like, we have and will deliver it to your home and office. No charge. Five free cases of Spring Water! www.ParkAndWillow.com | 877-746-7123 255 West 36th Street New York, NY 10018 (map)",8777467123," 255 West 36th Street New York, NY 10018 ("
"Philip Miller, MD, FACS",drphilipmiller.com,- specializes exclusively in facial plastic surgery in New York and prides himself on achieving natural looking results.," Dr. Philip Miller - specializes exclusively in facial plastic surgery in New York and prides himself on achieving natural looking results. drphilipmiller.com | (646) 791-3025 60 E 56th St #300 New York, NY 10022",6467913025," 60 E 56th St #300 New York, NY 10022"
Revaluate,revaluate.com,- Revaluate lets you know what itâs like to live at a specific locationâ¦before you move there.," Revaluate - Revaluate lets you know what itâs like to live at a specific locationâ¦before you move there. revaluate.com | 917-499-4711 150 East 57th St Unit 29A New York, NY 10022 (map)",9174994711," 150 East 57th St Unit 29A New York, NY 10022 ("
Robert Window Cleaning,www.rwindowc.com,- Professional window cleaning and fix.," Robert Window Cleaning - Professional window cleaning and fix. www.rwindowc.com | 917-224-3020 5738 65 St Maspeth, NY 11378 (map)",9172243020," 5738 65 St Maspeth, NY 11378 ("
 Rock Paper Team LLC,www.rockpaperteam.com,- We create customized events to strengthen bonds and bring out the best in people. Our services make your days more enjoyable and productive. ," Rock Paper Team LLC - We create customized events to strengthen bonds and bring out the best in people. Our services make your days more enjoyable and productive. www.rockpaperteam.com | 212-925-5604 54 West 40th St New York, NY 10018",2129255604," 54 West 40th St New York, NY 10018"
Roll Up Doors NYC,www.rollupdoors.biz, - Roll up gate and door Installation and repair and 24 hour emergency gate repair service. ," Roll Up Doors NYC - Roll up gate and door Installation and repair and 24 hour emergency gate repair service. www.rollupdoors.biz | (877) 575-4208 65-04 Forest Ave. Queens, NY 11385",8775754208," 65-04 Forest Ave. Queens, NY 11385"
Segura Worldwide LLC,www.seguraexecutive.com," - Corporate Headquarters for the following businesses: Segura Executive Transportation, Segura Financial, Segura Cleaning Services."," Segura Worldwide LLC - Corporate Headquarters for the following businesses: Segura Executive Transportation, Segura Financial, Segura Cleaning Services. www.seguraexecutive.com | (718) 749-9555 118-35 Queens Blvd, Ste 400, Forest Hills, NY 11375",7187499555," 118-35 Queens Blvd, Ste 400, Forest Hills, NY 11375"
Sensitive Touch,www.sensitivetouch.com," - We are known for laser hair removal treatment and all services related to Botox, tattoo removal, and other facial rejuvenation techniques."," Sensitive Touch - We are known for laser hair removal treatment and all services related to Botox, tattoo removal, and other facial rejuvenation techniques. www.sensitivetouch.com | 212-339-9956 135 E. 55th St. (8th FL.) 10022 (map)",2123399956, 135 E. 55th St. (8th FL.) 10022 (
Simple Blue Plumbing and Heating,www.simpleblueplumbing.com.com," - Our mission is to provide the highest level of quality for every maintenance job we are complete, whether commercial or residential."," Simple Blue Plumbing and Heating - Our mission is to provide the highest level of quality for every maintenance job we are complete, whether commercial or residential. www.simpleblueplumbing.com.com | 212-339-9956 14711 34th Ave Flushing, NY 11354 (map)",2123399956," 14711 34th Ave Flushing, NY 11354 ("
Shop Glam Expressway,www.ShopGlamExpressway.com,<b>S</b>," Shop Glam Expressway - Shop Glam Expressway is your online destination for trendy, edgy, and affordable Fashion Jewelry and Accessories! We ship internationally! www.ShopGlamExpressway.com | 347-206-3583 100 Jay Street Brooklyn, NY 11201 (map)",3472063583," 100 Jay Street Brooklyn, NY 11201 ("
Signature Auto,signatureautoworld.com,"- Offers auto leasing across New York City, with offices in both Brooklyn and Staten Island."," Signature Auto - Offers auto leasing across New York City, with offices in both Brooklyn and Staten Island. signatureautoworld.com | 718-772-0099 9263-9265 4th Ave. Brooklyn, NY 11209",7187720099," 9263-9265 4th Ave. Brooklyn, NY 11209"
Smart Choice Carpet,www.smartchoicecarpet-ny.com, - The ultimate solution for your carpet cleaning needs in Manhattan and the surroundings areas.," Smart Choice Carpet - The ultimate solution for your carpet cleaning needs in Manhattan and the surroundings areas. www.smartchoicecarpet-ny.com | 212-361-9865 237 East 33rd New York, NY 10016 (map)",2123619865," 237 East 33rd New York, NY 10016 ("
Spy Tec,www.spytecinc.com,"- Provides hidden cameras and surveillance equipment, Spy Tec was established on 2004 and since then served thousands of customers."," Spy Tec - Provides hidden cameras and surveillance equipment, Spy Tec was established on 2004 and since then served thousands of customers. www.spytecinc.com | 877-212-7400 135 W. 36th St., 13th Floor New York, NY 10018 (map)",8772127400," 135 W. 36th St., 13th Floor New York, NY 10018 ("
Staten Web,http://statenweb.com," - Staten Island-based web design agency that specializes in web development, search engine optimization, local SEO & brand management. "," StatenWeb - Staten Island-based web design agency that specializes in web development, search engine optimization, local SEO & brand management. http://statenweb.com | 718-569-8123 296 Burbank Avenue Staten Island, NY 10306 (map)",7185698123," 296 Burbank Avenue Staten Island, NY 10306 ("
Sun Light Fine Rug Care & Restoration,www.sunlightfinerugcare.com/,"- Professional rug cleaning service in Brooklyn ,New York.free estimate , pickup & delivery. "," Sun Light Fine Rug Care & Restoration - Professional rug cleaning service in Brooklyn ,New York.free estimate , pickup & delivery. www.sunlightfinerugcare.com/ | 718-697-7374 390 Hooper St Brooklyn, NY 10020 (map)",7186977374," 390 Hooper St Brooklyn, NY 10020 ("
Synergy Business Brokers,synergybb.com," - A leading M & A firm focused on selling companies with annual revenues of $600,000 to $40 Million."," Synergy Business Brokers - A leading M & A firm focused on selling companies with annual revenues of $600,000 to $40 Million. synergybb.com | 914-738-9350 7 Schuyler Street New Rochelle, NY 10801",9147389350," 7 Schuyler Street New Rochelle, NY 10801"
Rug Pro NYC,www.rugcleaningnyc.net," - Professional rug cleaning services in NYC. We specialize in rug repair, stain removal, carpet cleaning. Free pickup & delivery. Free estimates. "," Rug Pro NYC - Professional rug cleaning services in NYC. We specialize in rug repair, stain removal, carpet cleaning. Free pickup & delivery. Free estimates. www.rugcleaningnyc.net | 212-994-2709 1271 Avenue of the Americas New York City, NY 10020 (map)",2129942709," 1271 Avenue of the Americas New York City, NY 10020 ("
The Blanch Law Firm,www.blanchpc.com, - Top rated criminal defense attorneys. As seen in Super Lawyers and U.S. News and World Report.," The Blanch Law Firm - Top rated criminal defense attorneys. As seen in Super Lawyers and U.S. News and World Report. www.blanchpc.com | 212-736-3900 261 Madison Avenue New York, NY 10016",2127363900," 261 Madison Avenue New York, NY 10016"
The Clean Bedroom,www.thecleanbedroom.com, - An independent retailer of the finest organic mattresses and bedding in the world.," The Clean Bedroom - An independent retailer of the finest organic mattresses and bedding in the world. www.thecleanbedroom.com | 212-764-3232 230 5th Ave, Suite 1807 New York, NY 10001",2127643232," 230 5th Ave, Suite 1807 New York, NY 10001"
The Riviere Agency,www.theriviereagency.com," - Marketing, PR, social media and events for fashion, beauty, travel and other lifestyle brands. We have packages to cater to every budget."," The Riviere Agency - Marketing, PR, social media and events for fashion, beauty, travel and other lifestyle brands. We have packages to cater to every budget. www.theriviereagency.com | 646-741-2099 325 West 38th Street, Suite 1700 New York, NY 10018 (map)",6467412099," 325 West 38th Street, Suite 1700 New York, NY 10018"
"Thomas P. Sterry, MD",www.drsterry.com/," - A board-certified plastic surgeon in New York specializing in cosmetic procedures for the face, body, and breasts."," Thomas P. Sterry, MD - A board-certified plastic surgeon in New York specializing in cosmetic procedures for the face, body, and breasts. www.drsterry.com/ | (212) 249-4020 1080 5th Avenue #1b New York, NY 10128",2122494020," 1080 5th Avenue #1b New York, NY 10128"
Total Dealer Compliance,www.totaldealercompliance.com,- A compliance-auditing firm with an E-Learning Platform for auto dealers to ensure compliance with regulations.," Total Dealer Compliance - A compliance-auditing firm with an E-Learning Platform for auto dealers to ensure compliance with regulations. www.totaldealercompliance.com | 888-243-5204 733 3rd Avenue New York, NY 10017",8882435204," 733 3rd Avenue New York, NY 10017"
TradeMarkers,www.trademarkers.com,- a team of trademark and intellectual property attorneys. We helped companies gain worldwide protection for their brands.," TradeMarkers - a team of trademark and intellectual property attorneys. We helped companies gain worldwide protection for their brands. www.trademarkers.com | 212-468-5517 246 West Broadway New York, NY 10013",2124685517," 246 West Broadway New York, NY 10013"
Transfer Co,www.transfer.co,- a simple way to transfer large files anytime and anywhere which guarantees the security of its customers. Free and easy.," Transfer Co - a simple way to transfer large files anytime and anywhere which guarantees the security of its customers. Free and easy. www.transfer.co | 512-931-4842 W 29 Street New York, NY 10001",5129314842," W 29 Street New York, NY 10001"
Tri State Garage Services,www.tristategarageservices.com,- a leading provider in the Garage Door industry and has been serving NY residents for over two decades.," Tri State Garage Services- a leading provider in the Garage Door industry and has been serving NY residents for over two decades. www.tristategarageservices.com | (917) 547-5438 171 Campbell Ave. Staten Island, NY 10310",9175475438," 171 Campbell Ave. Staten Island, NY 10310"
OrthoSnap New York,www.orthosnapny.com," - todayâs only alternative to traditional metal braces, providing you with unnoticeable solution throughout your treatment."," OrthoSnap New York - todayâs only alternative to traditional metal braces, providing you with unnoticeable solution throughout your treatment. www.orthosnapny.com | 844-678-4676 897 Park Ave. New York, NY 10075 (map) 133-A West End Ave. Brooklyn, NY 11235 (map) ",8446784676," 897 Park Ave. New York, NY 10075 "
Paragon Security,paragonsecurityny.com,- New York locksmith offering a range of security services to businesses and homes all across New York City.," Paragon Security - New York locksmith offering a range of security services to businesses and homes all across New York City. paragonsecurityny.com | (212) 488-6590 86 Christopher Street Queens, NY 11105 (map)",2124886590," 86 Christopher Street Queens, NY 11105 "
Park Dental Care,www.718dentist.com," - Park Dental of Astoria offers cosmetic dentistry services in Queens, New York."," Park Dental Care - Park Dental of Astoria offers cosmetic dentistry services in Queens, New York. www.718dentist.com | 718-274-1515 29-14 Ditmars Blvd. New York, NY 10014 (map)",7182741515," 29-14 Ditmars Blvd. New York, NY 10014 "
Prevu Real Estate,www.prevuapp.com, - A tech-enabled real estate brokerage. Our Smart Buyerâ¢ commission rebate in NYC saves homebuyers up to 2% of their purchase price.," Prevu Real Estate - A tech-enabled real estate brokerage. Our Smart Buyerâ¢ commission rebate in NYC saves homebuyers up to 2% of their purchase price. www.prevuapp.com | 646-603-6868 575 Fifth Avenue, 14th Floor New York, NY 10017 ",6466036868," 575 Fifth Avenue, 14th Floor New York, NY 10017 "
Queens Boiler Repair Pros,www.queenscoboilers.com," - boiler repair and installation contractor serving Queens, NY. We serve residential, commercial, and industrial boiler clientele."," Queens Boiler Repair Pros - boiler repair and installation contractor serving Queens, NY. We serve residential, commercial, and industrial boiler clientele. www.queenscoboilers.com | (347) 318-1156 10306 Liberty Ave, #2A Ozone Park, NY 11417",3473181156," 10306 Liberty Ave, #2A Ozone Park, NY 11417"
spiral2grow Marriage Family Therapy,spiral2grow.com,"- Among the top counseling practices in NYC, specializes in Psychotherapy, Coaching, Couples Counseling."," spiral2grow Marriage Family Therapy - Among the top counseling practices in NYC, specializes in Psychotherapy, Coaching, Couples Counseling. spiral2grow.com | (917) 692-3867 260 Madison Ave (#8023) New York, NY 10016",9176923867," 260 Madison Ave (#8023) New York, NY 10016"
Williamsburg Yoga Psychotherapy,www.suzydaren.com," - Integrating modern therapy with the wisdom of yoga, we offer an effective approach to treating relationships, depression, anxiety and more."," Williamsburg Yoga Psychotherapy - Integrating modern therapy with the wisdom of yoga, we offer an effective approach to treating relationships, depression, anxiety and more. www.suzydaren.com | (646) 504-7218 169 Wythe Brooklyn, NY 11249",6465047218," 169 Wythe Brooklyn, NY 11249"
Window Tinting Brooklyn,www.brooklynwindowtinting.com," - We are a local window tinting company located in Brooklyn, NY. We have a variety window tinting services. Call us today for an estimate!!"," Window Tinting Brooklyn - We are a local window tinting company located in Brooklyn, NY. We have a variety window tinting services. Call us today for an estimate!! www.brooklynwindowtinting.com (347) 377-2717 1703 East 14th Street #9 New York, NY 11229 ",3473772717," 1703 East 14th Street #9 New York, NY 11229 "
Witzmani Dental Care,www.amazingsmilenyc.com,- a family dentistry located near the new Queens Center Mall. We serve all of queens and surrounding area.," Witzmani Dental Care - a family dentistry located near the new Queens Center Mall. We serve all of queens and surrounding area. www.amazingsmilenyc.com | (718) 305-1956 60-51 Woodhaven Blvd Elmhurst, NY 11373 (map)",7183051956," 60-51 Woodhaven Blvd Elmhurst, NY 11373 "
Worden Capital Management,www.wordencapital.com,- A comprehensive financial services firm committed to helping our clients improve their long-term financial success.," Worden Capital Management - A comprehensive financial services firm committed to helping our clients improve their long-term financial success. www.wordencapital.com | (516) 621-0218 100 Ring Road (#210) Garden City, NY 11530",5166210218," 100 Ring Road (#210) Garden City, NY 11530"
Wright Law Firm PC,www.wrightlawfirmnyc.com,"- Manhattan Business Lawyers. We handle the purchase and sale of businesses, the negotiation of retail and office leases and civil litgation."," Wright Law Firm PC - Manhattan Business Lawyers. We handle the purchase and sale of businesses, the negotiation of retail and office leases and civil litgation. www.wrightlawfirmnyc.com | (212) 619-1500 270 Madison Avenue Suite (#1203) New York, NY 10016",2126191500," 270 Madison Avenue Suite (#1203) New York, NY 10016"
Your In-House Art Dept.,www.yourinhouseartdept.com,"- A group of talented NY art directors and graphic designers, professionals in all facets of creative design and development."," Your In-House Art Dept. - A group of talented NY art directors and graphic designers, professionals in all facets of creative design and development. www.yourinhouseartdept.com | 516-761-3600 485 S. Broadway STE 3 Hicksville, NY 11801 (map)",5167613600," 485 S. Broadway STE 3 Hicksville, NY 11801 "
zibber CONSTRUCTION,www.zibber-remodeling-repair.com,"- Home Remodeling and Repair, Carpentry, Electricity, Painting, Plastering, Plumbing, and Handyman Services. NO JOB TOO BIG OR TOO SMALL!"," zibber CONSTRUCTION - Home Remodeling and Repair, Carpentry, Electricity, Painting, Plastering, Plumbing, and Handyman Services. NO JOB TOO BIG OR TOO SMALL! www.zibber-remodeling-repair.com | 646-326-9312 5029 42 St, Sunnyside, NY 11104 (map)",6463269312," 5029 42 St, Sunnyside, NY 11104 "
ZugBu Events Management Company,www.zugbuevents.com, - An events management company which develop events that allow small business owners to connect with their customers.," ZugBu Events Management Company - An events management company which develop events that allow small business owners to connect with their customers. www.zugbuevents.com | 718-205 7501 6901 35th Ave, New York, NY 11377 (map)",7182057501," 6901 35th Ave, New York, NY 11377 "
